product_id,base_product_id,name,structure_type,radius_km,n_thresholds,max_payout,payout_level,payout_level_pct,absolute_risk,asymmetric_risk,weighted_risk,rmse_risk,relative_absolute_risk,relative_weighted_risk,correlation,trigger_rate,mean_payout,coverage_ratio,basis_risk_std,hospital_match_score
S011_R30_max_L25,S011_R30_max,"Steinmann S011 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322001972.31530786,322001972.31530786,644003944.6306157,1789983147.6496418,0.20898625145568794,644208.8030335385,0.44768672494732065,0.009146341463414634,342987.8048780488,0.0010640396075997783,1760782325.756018,1.552785517518513e-09
S011_R30_max_L50,S011_R30_max,"Steinmann S011 (R=30km, max)",single,30,1,100000000.0,0.5,50%,321658984.5104298,321658984.5104298,643317969.0208596,1788357859.5219722,0.20893281214459894,644208.8029266598,0.44768672494732065,0.009146341463414634,685975.6097560975,0.0021280792151995567,1759192806.7718241,1.5544412663734155e-09
S011_R30_max_L75,S011_R30_max,"Steinmann S011 (R=30km, max)",single,30,1,150000000.0,0.75,75%,321315996.70555174,321315996.70555174,642631993.4111035,1786738291.5927181,0.20887937283350996,644208.8028197812,0.4476867249473154,0.009146341463414634,1028963.4146341464,0.003192118822799335,1757609101.2807093,1.5561005500766923e-09
S011_R30_max_L100,S011_R30_max,"Steinmann S011 (R=30km, max)",single,30,1,200000000.0,1.0,100%,320973008.9006737,320973008.9006737,641946017.8013474,1785124459.4309628,0.20882593352242096,644208.8027129027,0.44768672494732065,0.009146341463414634,1371951.219512195,0.004256158430399113,1756031225.0116556,1.5577633799602295e-09
S012_R30_max_L25,S012_R30_max,"Steinmann S012 (R=30km, max)",single,30,1,50000000.0,0.25,25%,321887643.0470152,321887643.0470152,643775286.0940304,1789440750.3238106,0.20896843835199164,644208.8029979123,0.44768672494731454,0.009146341463414634,457317.0731707317,0.0014187194767997045,1760251841.1219113,1.5533370417400617e-09
S012_R30_max_L50,S012_R30_max,"Steinmann S012 (R=30km, max)",single,30,1,100000000.0,0.5,50%,321430325.9738444,321430325.9738444,642860651.9476888,1787277511.0305076,0.20889718593720627,644208.8028554075,0.44768672494731454,0.009146341463414634,914634.1463414634,0.002837438953599409,1758136356.1964564,1.555547062049499e-09
S012_R30_max_L75,S012_R30_max,"Steinmann S012 (R=30km, max)",single,30,1,150000000.0,0.75,75%,320973008.9006737,320973008.9006737,641946017.8013474,1785124459.4309628,0.20882593352242096,644208.8027129027,0.44768672494732065,0.009146341463414634,1371951.219512195,0.004256158430399113,1756031225.0116556,1.5577633799602295e-09
S012_R30_max_L100,S012_R30_max,"Steinmann S012 (R=30km, max)",single,30,1,200000000.0,1.0,100%,320515691.82750297,320515691.82750297,641031383.6550059,1782981632.4318337,0.2087546811076356,644208.8025703978,0.44768672494731454,0.009146341463414634,1829268.2926829269,0.005674877907198818,1753936484.8481894,1.5599860224288175e-09
S013_R30_max_L25,S013_R30_max,"Steinmann S013 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S013_R30_max_L50,S013_R30_max,"Steinmann S013 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S013_R30_max_L75,S013_R30_max,"Steinmann S013 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S013_R30_max_L100,S013_R30_max,"Steinmann S013 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S014_R30_max_L25,S014_R30_max,"Steinmann S014 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S014_R30_max_L50,S014_R30_max,"Steinmann S014 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S014_R30_max_L75,S014_R30_max,"Steinmann S014 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S014_R30_max_L100,S014_R30_max,"Steinmann S014 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S015_R30_max_L25,S015_R30_max,"Steinmann S015 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S015_R30_max_L50,S015_R30_max,"Steinmann S015 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S015_R30_max_L75,S015_R30_max,"Steinmann S015 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S015_R30_max_L100,S015_R30_max,"Steinmann S015 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S016_R30_max_L25,S016_R30_max,"Steinmann S016 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S016_R30_max_L50,S016_R30_max,"Steinmann S016 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S016_R30_max_L75,S016_R30_max,"Steinmann S016 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S016_R30_max_L100,S016_R30_max,"Steinmann S016 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S017_R30_max_L25,S017_R30_max,"Steinmann S017 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S017_R30_max_L50,S017_R30_max,"Steinmann S017 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S017_R30_max_L75,S017_R30_max,"Steinmann S017 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S017_R30_max_L100,S017_R30_max,"Steinmann S017 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S018_R30_max_L25,S018_R30_max,"Steinmann S018 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S018_R30_max_L50,S018_R30_max,"Steinmann S018 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S018_R30_max_L75,S018_R30_max,"Steinmann S018 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S018_R30_max_L100,S018_R30_max,"Steinmann S018 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S019_R30_max_L25,S019_R30_max,"Steinmann S019 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S019_R30_max_L50,S019_R30_max,"Steinmann S019 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S019_R30_max_L75,S019_R30_max,"Steinmann S019 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S019_R30_max_L100,S019_R30_max,"Steinmann S019 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S020_R30_max_L25,S020_R30_max,"Steinmann S020 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S020_R30_max_L50,S020_R30_max,"Steinmann S020 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S020_R30_max_L75,S020_R30_max,"Steinmann S020 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S020_R30_max_L100,S020_R30_max,"Steinmann S020 (R=30km, max)",single,30,1,200000000.0,1.0,100%,322344960.1201859,322344960.1201859,644689920.2403718,1791614140.4082506,0.20903969076677692,644208.8031404171,0.0,0.0,0.0,0.0,1762377642.5034194,1.5511332922283288e-09
S021_R30_max_L25,S021_R30_max,"Steinmann S021 (R=30km, max)",single,30,1,50000000.0,0.25,25%,321430325.9738444,321430325.9738444,642860651.9476888,1789531141.3071823,0.2081490129885793,644208.8013590616,0.5997398879830067,0.07317073170731707,914634.1463414634,0.002837438953599409,1760427292.2368975,1.555547062049499e-09
S021_R30_max_L50,S021_R30_max,"Steinmann S021 (R=30km, max)",single,30,1,100000000.0,0.5,50%,320515691.82750297,320515691.82750297,641031383.6550059,1787452111.011436,0.2072583352103817,644208.799577706,0.5997398879830067,0.07317073170731707,1829268.2926829269,0.005674877907198818,1758480804.6866975,1.5599860224288175e-09
S021_R30_max_L75,S021_R30_max,"Steinmann S021 (R=30km, max)",single,30,1,150000000.0,0.75,75%,319601057.6811615,319601057.6811615,639202115.362323,1785377063.3857565,0.20636765743218408,644208.7977963504,0.5997398879830137,0.07317073170731707,2743902.43902439,0.008512316860798227,1756538192.6940932,1.564450389637264e-09
S021_R30_max_L100,S021_R30_max,"Steinmann S021 (R=30km, max)",single,30,1,200000000.0,1.0,100%,318686423.53482,318686423.53482,637372847.06964,1783306012.332801,0.20547697965398648,644208.7960149947,0.5997398879830067,0.07317073170731707,3658536.5853658537,0.011349755814397636,1754599469.1316023,1.5689403824286205e-09
